Product_Title,Price,Shop_Name,URL,Image_Url,Product_Code,Category_Id
ASUS VP247H 23.6 INCH GAMING MONITOR,15500.00,DOLPHIN,https://dolphin.computer/products/asus-vp247h-23.6-inch-gaming-monitor,https://dolphin.computer/storage/media/zcL7CgPI33p0bqicvam04naKJydW4ckjpM0r3Wtz.jpeg,1,4
ASUS VZ249HE 23.8 INCH FULL HD IPS ULTRA-SLIM FRAMELESS FLICKER FREE BLUE LIGHT FILTER EYE CARE MONITOR,20000.00,DOLPHIN,https://dolphin.computer/products/asus-vz249he-23.8-inch-full-hd-ips-ultra-slim-frameless-flicker-free-blue-light-filter-eye-care-monitor,https://dolphin.computer/storage/media/Pen2aa1yX15dzhfPM8Y43tIHmT8bjAImpbCbkwAk.jpeg,1,4
ASUS VP228HE 21.5 FULL HD GAMING MONITOR,9400.00,DOLPHIN,https://dolphin.computer/products/asus-vp228he-21.5-full-hd-gaming-monitor,https://dolphin.computer/storage/media/dYLCFYYq3OO3OqLFlE4RWOMSFXvxoAjLD06xh46F.jpeg,1,4
ASUS ROG STRIX XG32VQR 32 INCH 2.5K WQHD AMD RADEON FREESUNC CURVED HDR GAMING MONITOR,72000.00,DOLPHIN,https://dolphin.computer/products/asus-rog-strix-xg32vqr-32-inch-2.5k-wqhd-amd-radeon-freesunc-curved-hdr-gaming-monitor,https://dolphin.computer/storage/media/4flVbIsLBUmTedrv7WGdke0y1CjAZ8ooXs0Nex8t.jpeg,1,4
PHILIPS 223V7QHSW/94 21.5 INCH IPS NARROW BORDER EDGE TO EDGE LED MONITOR,10200.00,DOLPHIN,https://dolphin.computer/products/philips-223v7qhsw-94-21.5-inch-ips-narrow-border-edge-to-edge-led-monitor,https://dolphin.computer/storage/media/UXE2zIgKeo8Svw2mZqgq3vUAGUUaBwFmkOW64qex.jpeg,1,4
VIEWSONIC 18.5 INCH VA1903A WIDE SCREEN LED MONITOR,5800.00,DOLPHIN,https://dolphin.computer/products/viewsonic-18.5-inch-va1903a-wide-screen-led-monitor,https://dolphin.computer/storage/media/V9k0z4IjeA7WlPbnNK4nzYGSJXHirkOjIL3xWzKz.jpeg,1,4
AOC E2270SWHN 21.5 INCH FHD LED TN MONITOR,8000.00,DOLPHIN,https://dolphin.computer/products/aoc-e2270swhn-21.5-inch-fhd-led-tn-monitor,https://dolphin.computer/storage/media/gVUImm2JzWnD6if0qTLelfVoDTAcFXlKo5GgEvDY.jpeg,1,4
PHILIPS 226E9QDSB 21.5 INCH IPS ULTRA NARROW BORDER EYE CARE GAMING LED MONITOR,11500.00,DOLPHIN,https://dolphin.computer/products/philips-226e9qdsb-21.5-inch-ips-ultra-narrow-border-eye-care-gaming-led-monitor,https://dolphin.computer/storage/media/vQTApF2c0BIw9pBQmNegXuZuGRxCCPT82rvxDG3x.jpeg,1,4
SAMSUNG C24F390FHW 23.5 INCH CURVED FULL HD LED MONITOR,15000.00,DOLPHIN,https://dolphin.computer/products/samsung-c24f390fhw-23.5-inch-curved-full-hd-led-monitor,https://dolphin.computer/storage/media/0iHzbR1JepQ8znJRFHFHxbsx4reBrbHDIhy7jmhR.jpeg,1,4
LOGITECH K480 TYPE-ON-ANYTHING UNIVERSAL BLUETOOTH KEYBOARD, 2600,BDSTALL,https://www.bdstall.com/details/logitech-k480-type-on-anything-universal-bluetooth-keyboard-23863/,https://www.bdstall.com/asset/product-image/big_36791.jpg,1,2
VIEW ONE GAMING KEYBOARD WITH MOUSE SET, 950,BDSTALL,https://www.bdstall.com/details/view-one-gaming-keyboard-with-mouse-set-50175/,https://www.bdstall.com/asset/product-image/big_96374.jpg,1,2
